Fecha_Publicación,Titulo,viewCount,likeCount,dislikeCount,commentCount,Duración [segs],Tags,Descripcion,videoID,Edicion,TEDx
16/11/18,Experiencia TEDxCórdoba 2018,1.007,18.0,0.0,0.0,111.0,['Córdoba'],"Más de 1600 personas colmaron las instalaciones de Plaza de la Música. Otra vez, en Córdoba se compartieron buenas ideas.",nnvzEfVdKwk,TEDxCórdoba 2018,TEDxCórdoba
19/12/18,Una receta para tomar riesgos | Javier Rodríguez | TEDxCordoba,9.605,201.0,6.0,7.0,921.0,"['TEDxTalks', 'Spanish', 'Business', 'Cooking', 'Culture', 'Entrepreneurship', 'Food', 'Ideas', 'Innovation', 'Passion', 'Success']","Javier es uno de los chefs más reconocidos en Argentina y nos cuenta sobre su experiencia como emprendedor gastronómico. Su charla busca poner en palabras la receta detrás del éxito de su restaurante, aunque los ingredientes son bastante particulares.
 

  Javier comenzó a estudiar cocina a los 19 años y tuvo la oportunidad de viajar por el mundo para trabajar en algunos de los mejores restaurantes a nivel internacional. Formó parte del staff de ""Noma"" en Copenhague (Dinamarca), ""Tetsuya´s"" en Sydney (Australia), y ""André, Ps Café"" (Singapur), entre otros. Con todas las experiencias y vivencias bajo el brazo, decidió volver a Córdoba. En 2015, Javier abrió ""El Papagayo"", un restaurante de características y propuesta gastronómica inédita para la ciudad. La dedicación y el profesionalismo de Javier y de todo su equipo han llevado al restaurante a posicionarse como uno de los referentes en nuestra ciudad. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",Q5jqL2KC4Yk,TEDxCórdoba 2018,TEDxCórdoba
14/01/19,El déficit de atención (TDAH) en la escuela | Leonardo Bronstein | TEDxCordoba,55.913,2.148,45.0,286.0,385.0,"['TEDxTalks', 'Spanish', 'Health', 'Activism', 'Education', 'Education reform', 'Family', 'Future', 'Life', 'Life Development']","En su charla nos invita a conocer cuáles son las sensaciones de un joven con el diagnóstico de Trastorno de atención por hiperactividad (TDAH) y cuáles las herramientas con las que, desde su historia personal, pudo salir adelante.
 

  Leonardo Bronstein tiene 18 años. Fue al Colegio San José Secundario de Córdoba. Egresó exitosamente del colegio secundario pese a diagnósticos equivocados que le decían que no lo lograría. Estudiará Psicología. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",n5SaHkzv468,TEDxCórdoba 2018,TEDxCórdoba
19/12/18,Tanto trabajo para no trabajar | Alejandro Orlando | TEDxCordoba,3.285,78.0,3.0,3.0,865.0,"['TEDxTalks', 'Spanish', 'Entertainment', 'Art', 'Comedy', 'Culture', 'Emotions', 'Freedom', 'Life', 'Passion', 'Success']","Alejandro es un actor cordobés. Desde chico descubrió su vocación actoral y nunca dejó de entregarle toda su pasión. Actualmente es un reconocido actor del teatro independiente. Saltó a la fama y recorrió el mundo junto a Pedro Paiva, su compañero en ""Los Modernos"". Han recibido innumerables premios por sus obras llenas de humor y sentido profundo.
 

  El dúo Los Modernos lleva realizadas más de 2000 funciones en Argentina, Francia, España, Suecia, Uruguay, Chile y México. Con esta compañía, Ale y Pedro Paiva, fueron ganadores del premio ""Dies de Radio"" al mejor Espectáculo Teatral del Año (Barcelona), ""Premio Revelación"" en el X Festival Internacional de Humor (Madrid) y del Premio ""ACE"" Mejor Espectáculo de Humor (Buenos Aires). Como autor ha estrenado la Trilogía ""Del Fin del Mundo: La casa del viento, Los iluminados y Más allá del mar"" y ""Mi Vida con Robert"". Como Actor ha estrenado ""El Otro Judas"" de Abelardo Castillo, ""Cuando los paisajes de Cartier Bresson"" de Josep Pepe Peyro, ""Diez maneras de ser un hombre"" de Fernando Schmidt, ""El Montaplatos"" de Harold Pinter, ""Volver a Madryn"" de Rodrigo Cuesta y ""V.O.S."" de Carol Lopez, entre otras. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",RkVwAxY8sGE,TEDxCórdoba 2018,TEDxCórdoba
23/01/19,Entre el rosa y el azul | Agus Cornejo Pinti | TEDxCordoba,576,25.0,2.0,3.0,295.0,"['TEDxTalks', 'Spanish', 'Life', 'Activism', 'Children', 'Education', 'Gender', 'Identity', 'LGBT']","Su charla cuenta en primera persona la incomodidad de las etiquetas y la angustia reconvertida en impulso para ayudar a otros jóvenes que buscan su identidad de género.
 

  Agus Cornejo Pinti tiene 17 años. Fue al colegio Centro Educativo Nuevo Siglo. Allí participó durante 2017 del proyecto Clubes TED Ed. 
 Le gusta estar con amigos, escuchar música y le gustaría viajar para seguir creciendo como persona. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",xhKTrTnXOU0,TEDxCórdoba 2018,TEDxCórdoba
19/12/18,Soñadores imparables | Pablo Giesenow | TEDxCordoba,3.076,89.0,1.0,3.0,798.0,"['TEDxTalks', 'Spanish', 'Life', 'Emotions', 'Empathy', 'Motivation', 'Recovery', 'Self improvement', 'Self-help', 'Sports']","Pablo es un deportista adaptado que obtuvo múltiples reconocimientos como ciudadano cordobés. Además es un agente activo en eventos que promocionan la inclusión, la solidaridad y el deporte en todas sus dimensiones. De esta manera, vive contagiando su pasión. su humor y su optimismo con todas las personas que lo conocen.
 

  Pablo es abogado y toda la vida fue amante del deporte. En el 2015 sufrió un accidente en el que perdió sus piernas. El deporte le salvó la vida, y gracias a ello logró no solamente volver a caminar, sino que, además, después de una larga jornada laboral, entrena casi diariamente para sus competencias de paratriatlón y tenis adaptado. También brinda charlas en todo el país contando su experiencia. Se ha convertido en inspiración de muchas personas y actualmente es un actor clave en la visualización del deporte adaptado. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",MTN7cW-X5vM,TEDxCórdoba 2018,TEDxCórdoba
3/01/19,El hambre que a nadie le importa | Manuel Ortega | TEDxCordoba,1.784,48.0,0.0,1.0,662.0,"['TEDxTalks', 'Spanish', 'Social Science', 'Change', 'Community', 'Empathy', 'Food', 'Future', 'Public Policy', 'Social Change']","Siendo muy joven, Manuel descubrió que la desigualdad y la pobreza lo incomodaban. Desde entonces, fue capaz de reconocer sus propios privilegios y ponerse a trabajar inscansablemente para lograr una sociedad más justa. Su más reciente experiencia, en el Banco de Alimentos de Córdoba, lo enfrentó con el hambre y la marginalidad. En esta Fundación trabajó colectivamente para redistribuir los alimentos aptos para el consumo que son desperdiciados por la industria alimenticia diariamente. En su charla nos interpela a accionar, a hacer algo para lograr una sociedad menos injusta.
 

  Manu es apasionado, sensible y analítico. Se recibió de Lic. en Publicidad y está terminando su postgrado en Marketing y Dirección Comercial. Desde hace mucho tiempo se siente un privilegiado, y aprendió a mirar la vida desde esa óptica. Ha trabajado en el tercer sector y colaborado en voluntariados universitarios desde los 18 años, tratando de contribuir a una sociedad más justa. Si hay algo que Manu aprendió en su vida, es a alejarse para mirar en perspectiva las cosas y darse cuenta de que nunca está todo perdido. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",bJZCUB6esJg,TEDxCórdoba 2018,TEDxCórdoba
22/01/19,Filosofía: sin miedo a las preguntas | Milena Zoledad Moreno | TEDxCordoba,2.580,93.0,2.0,9.0,746.0,"['TEDxTalks', 'Spanish', 'Life', 'Activism', 'Evolution', 'LGBT', 'Philosophy', 'Schools', 'Teaching']","Milena es padre. Tiene un hijo adolescente de 19 años y ejerce la paternidad simbólica con todos sus alumnos de Filosofía. Desde su experiencia como educadora en diversos colegios de Córdoba, esta docente trans desafía los prejuicios y nos muestra la importancia de las preguntas en la escuela y en todos los ámbitos de la vida. 
 

  En su vida, Milena es hombre y mujer, una realidad andrógina que la llevó a pensar en todas las cosas. Seguramente fue eso lo que hizo que eligiera ser diplomada y profesora en Filosofía (Universidad Nacional de Atenas, Grecia, y Escuela Primaria y Archivología de la UNC, respectivamente). Desde hace 23 años, se desempeña como docente en cuatro escuelas de la provincia. Su propósito: crear métodos para la enseñanza de la Filosofía en niños y adolescentes, para promover toda clase de preguntas. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",j-5eHwYzhek,TEDxCórdoba 2018,TEDxCórdoba
19/12/18,Las mentiras nuestras de cada día | Adriana Guraieb | TEDxCordoba,2.678,63.0,1.0,2.0,816.0,"['TEDxTalks', 'Spanish', 'Social Science', 'Coding', 'Language', 'Life', 'Psychology', 'Social Interaction']","Como psicóloga y psicoanalista, Adriana ha recorrido un camino para entender el comportamiento humano desde su trabajo en consultorio, con personas e instituciones. En esta oportunidad nos habla de la mentira, sus mecanismos y sobre cómo convivimos con ella diariamente en nuestra sociedad. 
 

  Adriana adjudica a la curiosidad como elemento que le marcó el camino hacia la psicología en un principio y luego al psicoanálisis. Un camino arduo e intenso, que desemboca en la actualidad y la posiciona como miembro de la Asociación Psicoanalítica Argentina (APA) -donde también ejerce la docencia- y de la Asociación Psicoanalítica Internacional (IPA). Autora de varios libros como Peter Pan y sus mujeres, acerca de los hombres que se resisten a crecer; ¿Y usted qué tiene que ver con lo que le pasa? y Parece mentira, un estudio sobre la dialéctica verdad-mentira, nos demuestra que es una ferviente divulgadora de la psicología sobre temáticas sociales. Adriana participa con artículos y columnas de difusión sobre el psicoanálisis de la vida cotidiana, en distintos medios masivos: televisión, radio y diarios del interior del país y de varios países latinoamericanos. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",M-sZzTQrUcI,TEDxCórdoba 2018,TEDxCórdoba
14/01/19,Canicross: La aventura de correr con tu perro | Diego Guevara Sánchez | TEDxCordoba,2.669,87.0,1.0,2.0,806.0,"['TEDxTalks', 'Spanish', 'Life', 'Adventure', 'Animals', 'Emotions', 'Motivation', 'Passion', 'Sports', 'Travel']","Diego es impulsor de la iniciativa CanRun, con la que une sus dos pasiones: la actividad física y el mundo de los perros. El canicross es un deporte único, que consiste en que las personas corran formando un equipo junto con sus perros. En su charla nos invita a conectarnos con las mascotas que nos acompañen día a día y a valorar lo profundo que puede ser el vínculo que creamos con ellas.
 

  Diego es profesor de Educación Física, egresado del IPEF. El grupo CanRun participa en competencias de canicross en Córdoba y también en competencias internacionales. En 2017 tuvieron la chance de ser parte del mundial llevado a cabo en Polonia. Herica es una perra mestiza de 5 años, compañera fiel de Diego y corredora de canicross. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",FgBUg_FvZiM,TEDxCórdoba 2018,TEDxCórdoba
